INPUT:diff1	INPUT:diff2	INPUT:query1	INPUT:query2	OUTPUT:result	CONFIDENCE:result
bmv	bmw	bmv 640	bmw 640	yes	99.99%
koss	kors	koss bt540i	kors bt540i	no	96.68%
конус	корпус	5 конус	5 корпус	yes	83.62%
bong	dong	billa bong	billa dong	no	98.38%
hdmi-	hdmi	hdmi-dvi	hdmi dvi	yes	94.58%
inzer	intex	inzer rage x	intex rage x	yes	70.94%
tuperrware	tupperware	tuperrware	tupperware	yes	98.22%
dbp	виз	denon dbp	denon виз	no	92.34%
ризинок	резинок	браслет из ризинок	браслет из резинок	yes	99.97%
pri	pro	macbook pri	macbook pro	yes	99.89%
бартер	бампер	бартер на приору универсал	бампер на приору универсал	yes	99.96%
балахон	балдахин	балахон оригинал	балдахин оригинал	no	99.99%
akai	kia	akai 2500	kia 2500	yes	97.13%
акумулятор	аккумулятор	акумулятор а3 самсунг 2016	аккумулятор а3 самсунг 2016	yes	97.90%
форос	фокус	аренда квартиры форос	аренда квартиры фокус	no	83.73%
адмералтеец	адмиралтеец	адмералтеец	адмиралтеец	yes	98.87%
метабо	метал	акб метабо	акб метал	no	99.54%
shkoda	skoda	shkoda rapid 2017	skoda rapid 2017	yes	99.91%
omen	one	omen 880	one 880	no	99.99%
ресоры	рессоры	задние ресоры газ 31105	задние рессоры газ 31105	yes	99.26%
ssanyong	ssangyong	ssanyong rexton	ssangyong rexton	yes	96.60%
file	fila	new english file pre-intermediate	new english fila pre-intermediate	no	99.79%
метал	металлу	ак метал	ак металлу	no	96.85%
akai	kia	akai mpk249	kia mpk249	yes	88.59%
модуляр	модуля	ls2 модуляр	ls2 модуля	no	99.99%
sanyo	sony	sanyo sap	sony sap	no	99.30%
tls	еды	40 ktn gj tls	40 ktn gj еды	yes	82.54%
база	без	mamaroo база	mamaroo без	no	99.94%
guliver	gulliver	guliver свитер	gulliver свитер	yes	78.00%
scout	sport	tramp scout 3	tramp sport 3	yes	72.21%
соларис	соляриса	автомобили хундай соларис	автомобили хундай соляриса	no	99.96%
njqjnf	тойота	njqjnf rfhbyf	тойота rfhbyf	no	80.70%
cdx	свч	sony cdx-gt227ee	sony свч-gt227ee	yes	90.75%
уки	руки	больше уки	больше руки	yes	93.50%
зад	год	nissan xtrail t32 накладка зад	nissan xtrail t32 накладка год	yes	56.27%
барнузин	баргузин	барнузин	баргузин	yes	97.81%
автомобил	автомобиля	автомобил 2110 лада	автомобиля 2110 лада	no	99.97%
huper	super	huper x 8gb	super x 8gb	no	97.42%
босаножки	босоножки	босаножки для девочек	босоножки для девочек	yes	99.99%
aqua	asus	angel aqua chic	angel asus chic	no	77.52%
lack	black	lack	black	no	94.55%
ключь	ключей	ремонт под ключь 500	ремонт под ключей 500	no	99.79%
chic	chicco	voodoo chic	voodoo chicco	yes	95.37%
армотизаторы	амортизаторы	армотизаторы опель астра	амортизаторы опель астра	yes	86.87%
fiory	fiori	alisia fiory	alisia fiori	no	99.40%
beatz	beats	samsung beatz m3510	samsung beats m3510	yes	93.80%
maid	made	hand maid	hand made	no	92.86%
дону	дома	аренда домов ростов на дону	аренда домов ростов на дома	no	99.67%
danlop	dunlop	danlop sj6	dunlop sj6	yes	99.29%
сабуфер	сабвуфер	mitsubishi outlander 3 сабуфер	mitsubishi outlander 3 сабвуфер	yes	99.14%
кожанном	кожаном	бинокль театральный в кожанном футляре	бинокль театральный в кожаном футляре	yes	99.19%
калину	машину	блок управления на калину	блок управления на машину	no	99.99%
squad	quad	jackall mag squad	jackall mag quad	no	99.40%
x-box	xbox	x-box обмен	xbox обмен	yes	91.35%
ромео	ровер	альфа ромео передний бампер	альфа ровер передний бампер	no	99.82%
lue	дгу	lue	дгу	yes	86.11%
boogaboo	bugaboo	boogaboo donkey twin	bugaboo donkey twin	yes	67.73%
серебрянный	серебряный	браслет серебрянный с жемчугом	браслет серебряный с жемчугом	yes	98.42%
бомбер	бампер	adidas бомбер	adidas бампер	no	99.99%
bose	bosch	bose nissan	bosch nissan	no	98.33%
römer	romer	römer britax kidfix	romer britax kidfix	yes	89.65%
acura	astra	acura rdx разбор	astra rdx разбор	no	99.98%
басаножки	босоножки	басаножки размер 41	босоножки размер 41	yes	98.71%
xenon	canon	kia sportage 3 фары xenon	kia sportage 3 фары canon	no	99.38%
адсорбер	абсорбера	адсорбер шкода а5	абсорбера шкода а5	yes	74.34%
boox	box	onyx boox chronos	onyx box chronos	no	91.86%
simens	siemens	simens a 35	siemens a 35	yes	99.46%
джинсовка	джинсовый	love джинсовка	love джинсовый	no	99.43%
wolksvagen	volkswagen	wolksvagen transporter t4	volkswagen transporter t4	yes	99.99%
yfrkflrf	накладка	yfrkflrf	накладка	yes	96.63%
sumsung	samsung	sumsung 8	samsung 8	yes	99.80%
avk	vag	avk 250	vag 250	no	99.20%
айвон	айфон	айвон 8	айфон 8	yes	98.84%
inter	intel	inter i7	intel i7	yes	81.52%
mnc	mhc	mnc	mhc	no	91.41%
radio	radeon	radio shack	radeon shack	no	99.40%
glaxy	galaxy	samsung glaxy	samsung galaxy	yes	99.99%
беседа	беседки	беседа мебель	беседки мебель	yes	92.32%
bob	baby	dyna street bob	dyna street baby	no	96.42%
-комнатные	комнатные	3-комнатные квартиры	3 комнатные квартиры	yes	89.17%
aple	opel	big aple schwalbe	big opel schwalbe	no	98.93%
банная	баня	банная 1	баня 1	no	99.83%
банан	банка	банан коробка	банка коробка	no	99.99%
meta	metal	commencal meta	commencal metal	no	50.52%
митцубиси	митсубиси	авто диски для митцубиси галант	авто диски для митсубиси галант	no	84.69%
audio	audi	aux к comand audio 20	aux к comand audi 20	yes	64.23%
iphon	iphone	iphon 8 64	iphone 8 64	yes	87.34%
stars	star	bright stars качели	bright star качели	no	99.78%
дип	джип	1а64 дип 400	1а64 джип 400	no	95.77%
bakham	backham	victoria bakham	victoria backham	no	98.87%
серато	серого	амортизаторы киа серато 1	амортизаторы киа серого 1	no	99.99%
битовая	бытовая	битовая техника	бытовая техника	yes	99.99%
blac	black	call of duty blac ops	call of duty black ops	yes	99.99%
тени	одни	dior тени 609	dior одни 609	no	97.94%
азс	газ	азс газпромнефть новокузнецк	газ газпромнефть новокузнецк	no	61.98%
ветровики	ветровки	opel vectra c ветровики	opel vectra c ветровки	no	99.80%
boch	bosch	villeroy boch тарелка	villeroy bosch тарелка	yes	99.00%
нерабочий	рабочий	бойлер нерабочий	бойлер рабочий	no	99.59%
панарамная	панорамная	manfrotto панарамная	manfrotto панорамная	yes	91.91%
уселитель	усилитель	hi fi уселитель	hi fi усилитель	yes	99.99%
designs	design	porsche designs	porsche design	yes	78.01%
bnw	bmw	bnw x 5	bmw x 5	yes	82.78%
audio	audi	monitor audio rx 1	monitor audi rx 1	no	95.03%
манитор	мониторы	5 дюймовый манитор камера	5 дюймовый мониторы камера	no	94.07%
почти	почте	акумулятор почти новый	акумулятор почте новый	no	96.42%
шифр	шифер	билл шифр	билл шифер	yes	74.59%
nex	max	sony vg nex	sony vg max	no	96.00%
комбенизон	комбинезон	детский комбенизон seppala	детский комбинезон seppala	yes	99.99%
giovany	giovanni	teddy giovany	teddy giovanni	yes	94.13%
lumina	lumia	lumina	lumia	yes	98.70%
лес	лет	баланс лес	баланс лет	yes	95.23%
voyage	voyager	kindle voyage	kindle voyager	no	99.80%
dgs	dsg	dgs-1016d	dsg-1016d	yes	86.91%
аквила	аксела	аквила	аксела	no	98.44%
lenova	lenovo	lenova k5 note	lenovo k5 note	yes	88.06%
фотоапарат	фотоаппарат	sony nex-3 фотоапарат	sony nex-3 фотоаппарат	yes	75.25%
ktcf	леса	ktcf	леса	yes	91.31%
авторазбрка	авторазборка	авторазбрка	авторазборка	yes	99.94%
yfqyth	найнер	yfqyth	найнер	yes	99.34%
вери	чери	авторазбор чери вери	авторазбор чери чери	yes	65.90%
hana	hama	hana форсунки	hama форсунки	yes	98.83%
hop	shop	skip hop чашка	skip shop чашка	no	94.91%
антена	антенны	wifi антена уличная	wifi антенны уличная	no	99.96%
детску	детскую	комплект колёс на детску кроватку	комплект колёс на детскую кроватку	yes	99.97%
апарат	аппараты	апарат для ваты	аппараты для ваты	yes	99.97%
rline	line	бампер передний tiguan rline	бампер передний tiguan line	no	93.52%
telefox	telefon	telefox honor	telefon honor	yes	99.76%
gll	glk	bosch gll 2-15	bosch glk 2-15	yes	76.51%
njrfhysq	токарный	cnfyjr njrfhysq	cnfyjr токарный	yes	99.96%
аво	авто	аво в аренду	авто в аренду	yes	95.60%
коронка	колонка	алмазная коронка 100мм	алмазная колонка 100мм	no	52.62%
охлождения	охлаждение	opel astra gtc радиатор охлождения	opel astra gtc радиатор охлаждение	yes	99.92%
босаножки	босоножки	босаножки на танкетки	босоножки на танкетки	yes	99.85%
корса	колеса	бампер опель корса с	бампер опель колеса с	no	99.45%
литровый	литров	10 литровый баллон углекислоты	10 литров баллон углекислоты	no	99.74%
нисан	диван	бортовая грузовая нисан	бортовая грузовая диван	no	99.90%
болоны	долины	болоны углекислота	долины углекислота	no	99.92%
стеклоподьемника	стеклоподъемники	блок управления стеклоподьемника kia	блок управления стеклоподъемники kia	yes	99.99%
